0;int;char * string;%d`;countWords("Who are you?");countWords("I ate chicken for dinner.\nGood night");countWords("  ")
1;int;char * string;%d`;countVowels("Who are you?);countVowels("I ate chicken for dinner.\nGood night");countVowels("Hotdogs")
2;char;char * string;%c`;occurMost("BobbbtheBuilder");occurMost("ABCDEFGHIJKLMN\n\t");occurMost("\n\n\n\nBAB");
3;char *;char * string;%s`;uppercase("Hello!");uppercase("I ate chicken for dinner.\nGood night");uppercase("Gahhh!   Spaces!\t")
4;int;char * string1, char * string2;%d`;compare("Hello", "hellO");compare("Bobbab\n\n\t", "Bobbab\n\n\n\t");compare("\tHere I come...", "Here I come...")
5;int;int num;%d`;reverse(123);reverse(0123456);reverse(-71758)
6;int;int num;%d`;palindrome(1001);palindrome(12002);palindrome(-1221221)
7;int;int num;%d`;totalOne(30);totalOne(12);totalOne(10);
8;int;int num;%d`;powerOfThree(45);powerOfThree(-81);powerOfThree(81);
9;int;int num;%d`;nToN(9);nToN(13);nToN(15)
10;int;int num;%d`;naturalSum(10);naturalSum(7);naturalSum(20)
11;int;int num;%d`;factorial(1);factorial(12);factorial(7)
12;int;int num;%d`;armstrong(1);armstrong(153);armstrong(200)
13;int;int num;%d`;prime(2);prime(73);prime(200)
14;int;int num;%d`;binary(10);binary(100);binary(1000)
15;int;int n1, int n2;%d`;rSum(5, 10);rSum(-15, -10);rSum(1, 10)
16;int;int num;%d`;digitSum(53);digitSum(843);digitSum(-1024)
17;int;int n1, int n2;%d`;gcd(28, 42);gcd(9, 10);gcd(15, -50)
18;int;int n1, int n2;%d`;lcm(6, 15);lcm(15, 10);lcm(17, 13)
19;int;int n1, int n2;%d`;power(2, 6);power(4, 5);power(5, 0)
